SaleID,ProductID,ProductName,Brand,Category,RetailerID,RetailerName,Channel,Location,Quantity,Price,Date
1,1,Laptop,BrandA,Electronics,1,TechGear,Online,,3,4500,2024-02-05
2,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,1,100,2024-02-24
3,5,Blender,BrandE,Appliances,1,TechGear,Online,,4,800,2024-02-10
4,1,Laptop,BrandA,Electronics,1,TechGear,Online,,2,3000,2024-02-26
5,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,1,100,2024-02-09
6,5,Blender,BrandE,Appliances,1,TechGear,Online,,5,1000,2024-02-06
7,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,5,1500,2024-02-14
8,3,Smartphone,BrandC,Electronics,1,TechGear,Online,,2,1600,2024-02-04
9,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,2,600,2024-02-20
10,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,1,100,2024-02-25
11,4,Desk Chair,BrandD,Furniture,1,TechGear,Online,,3,900,2024-02-17
12,5,Blender,BrandE,Appliances,2,HomeEssentials,Offline,New York,1,200,2024-02-03
13,4,Desk Chair,BrandD,Furniture,3,GadgetWorld,Offline,San Francisco,4,1200,2024-02-25
14,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,5,7500,2024-02-19
15,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,1,800,2024-02-22
16,1,Laptop,BrandA,Electronics,3,GadgetWorld,Offline,San Francisco,3,4500,2024-02-21
17,1,Laptop,BrandA,Electronics,1,TechGear,Online,,1,1500,2024-02-01
18,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,3,900,2024-02-14
19,2,Coffee Maker,BrandB,Appliances,2,HomeEssentials,Offline,New York,2,200,2024-02-17
20,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,1,800,2024-01-30
21,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,5,1000,2024-02-23
22,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,4,400,2024-02-14
23,3,Smartphone,BrandC,Electronics,3,GadgetWorld,Offline,San Francisco,5,4000,2024-02-06
24,2,Coffee Maker,BrandB,Appliances,3,GadgetWorld,Offline,San Francisco,1,100,2024-02-18
25,2,Coffee Maker,BrandB,Appliances,1,TechGear,Online,,3,300,2024-02-03
26,4,Desk Chair,BrandD,Furniture,2,HomeEssentials,Offline,New York,2,600,2024-02-26
27,5,Blender,BrandE,Appliances,3,GadgetWorld,Offline,San Francisco,2,400,2024-02-18
